transaction_id,customer_id,date,amount,type
46f410de-13b6-47b9-9a38-bbb4430bb6b9,bb60bc4c-7cf4-477b-aea5-be4d4ad72ef4,2024-06-08 14:32:07,367.03,credit
72f18f81-2d3f-4dc8-9b44-8dcfcdec2b14,bdb369aa-5252-4f5d-be87-f307c14c8854,2024-05-27 15:57:22,152.16,credit
24af1578-9715-44b8-ab3e-650dd8dd5e76,937179a6-f06b-4b18-8de0-1f00f8d960ac,2024-05-11 14:35:53,114.49,credit
87127102-8e23-4c86-8bfa-b14f7e20e262,a930d529-f7b0-4b3d-bfab-0adbb09c4a97,2024-03-21 04:14:46,191.6,debit
90accb2c-8ea8-496f-8509-5b4bb092440d,6c076534-3352-4a4f-abdd-39e92f13923a,2024-06-10 00:50:09,696.6,credit
94e38501-b65a-4d84-a8d8-c6aa981db627,d22ce54d-ebf2-4cde-b5d3-6a21f547d6c8,2024-04-12 10:08:19,811.28,credit
2d151292-94f3-4816-a880-39420e282cb6,090bbf15-d2ef-4394-a798-836c070aec0a,2024-05-24 12:49:35,114.28,debit
a2af2bf1-da90-4b60-9573-1a69d3ca14df,b9eccc96-931f-4337-bbd0-0a74f5f906a9,2024-05-16 21:40:57,970.5,credit
45170b10-a779-4f7c-b2b8-b92984c61483,71b92b62-b9a7-4ea3-af91-f325f64d6f37,2024-03-22 21:53:14,392.28,credit
095e2a00-fcdb-46f3-923b-0cbcc492570a,a449f8a5-6025-4508-a0c8-c5d5e22a79e6,2024-06-02 07:48:15,158.39,debit
a7b0888f-1a25-4608-be30-6c5928f81af0,75638a2c-d07f-406f-b115-ae32caa96963,2024-06-08 03:59:52,522.31,credit
94c892d7-7fb1-4286-b260-a2d12a75f1e0,f7825036-447c-4d1b-b4ee-46ec2a290559,2024-02-22 17:22:45,79.17,debit
5e9273cb-4dce-4b17-b67c-56b9fc1ea1af,173f4c26-0b0e-469e-9818-ea44c14eea76,2024-04-23 14:43:44,429.38,debit
19d24afe-4d39-4c79-a30d-de13f4aef0a1,97a14cde-8d2c-42b7-bb31-e84a7c0a954d,2024-02-11 17:19:58,362.63,credit
eca8804d-6213-47f8-b049-d43fe1665499,1b7d9769-dba1-4d75-adc9-b24b5575a206,2024-05-31 09:13:39,756.91,credit
dd928ee4-0a7c-4f34-9094-60bc661bdc2e,398b54d0-c895-4d08-8793-d98a718971fd,2024-06-15 15:03:24,996.26,credit
be6d007a-4b10-429a-b918-b006a16574c9,2bf9ded5-1791-4d27-aeea-0e2496162f2c,2024-01-15 01:26:06,676.67,credit
f8b3385f-60d1-4790-a820-05b0bfbd68e1,ab47509e-8493-4b55-8192-b1f9d0f1afa6,2024-01-04 20:50:34,536.39,debit
f190f516-1fb1-4dec-9989-41c3b2932274,45f89ae7-0e4f-4ea0-ab14-544fee77134d,2024-05-08 14:42:42,531.51,credit
dfdc8f5c-8dd4-45f2-bc9c-ef729eca5608,aed7fc65-5d78-49a9-a44a-03fa8e8bd7e4,2024-02-06 22:16:03,470.03,credit
b1890a33-1d26-498a-a5f9-9198ee7d8ebc,6b758875-04c4-40c1-906a-fcafb739263b,2024-03-03 15:37:06,852.5,debit
5e49065d-e2d1-4fde-9a18-5fab0354c1e1,2b6ec5cd-57e6-423c-9326-cedb75c5b46b,2024-02-02 17:09:01,316.74,debit
d7eafe1a-2945-43ae-8695-f22401539cef,5b5dc461-9807-4273-8fa0-c1002ad983fe,2024-03-04 01:19:07,638.61,credit
04ca2770-4a8e-4de6-af52-8c4c72d84ad1,5bf70293-b88d-4b5d-8f59-3de2b8a45f3b,2024-01-03 03:44:45,921.55,credit
76c86ea6-9500-4ecf-a8ca-5a7ad13d9eb4,df3f9f2f-555f-4ca9-a927-62009e156c17,2024-03-31 04:55:07,870.11,debit
eb8b8100-a122-403b-8634-ce800bddd829,0dcc3891-aee0-4869-9b07-4e90b9bb8219,2024-01-01 23:19:18,678.25,credit
9091cff3-8b4b-458e-aeac-1a9fdbc59c03,2c5ef39c-ac84-4bd5-b549-bec1857a2fd8,2024-03-11 15:36:27,739.13,credit
14543c42-a620-495e-a7ef-e82bde8b7e9b,2807802f-775a-43f4-8216-17ba338f0f76,2024-02-26 07:02:57,959.86,credit
5097e8db-9c59-4516-a1b4-a20d882ec0f1,a532ad6e-0de6-4342-a696-aa89cfac341f,2024-02-13 19:54:20,110.23,credit
36b1bb47-7912-45e3-a7e6-93414b755ca9,dc318c7c-7b15-4a93-8b0c-5858cc24ebed,2024-03-22 03:12:24,949.54,credit
b1786d24-185f-49e2-8dfe-f388b063c877,08002d9b-e4ea-48d4-a6b3-abde5642e8ad,2024-04-29 09:03:43,475.89,debit
